Mina;Destino;Tipo Material;Grupo ;Distancia;Rango;Pertenencia;;
PP ESTERIL EL SILENCIO - ÑEME ÑEME;Nii;Esteril;AMS;4; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - ÑEME ÑEME;Niii;Esteril;AMS;8,3; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO - ÑEME ÑEME;Planta Maria Dama;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO - PLANTA MARIA DAMA;Lote Camambolo;Esteril;AMS;6,6; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Alto De Los Muertos;Esteril;AMS;4,5; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Arreglos De Vias Providencia;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Arreglos De Vias Zona Industrial;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Arreglos Vias Comunidad;Esteril;AMS;5; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Arreglos Zonas Varias;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Beta;Esteril;AMS;4,5; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Carla;Esteril;AMS;7,5; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Casa Pampa Verde;Esteril;AMS;9,9; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Coliseo;Esteril;AMS;3,1; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Donacion;Esteril;AMS;4; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Donacionn;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Donacionnn;Esteril;AMS;8,1; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Esterilsilencio (Alianza Minera);Esteril;AMS;12,4; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Explotaciones Gold;Esteril;AMS;13,5; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Fase 1B;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Filtroprensa;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;La Patera;Esteril;AMS;9,2; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Machete Gold;Esteril;AMS;10,1; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Machete Gold I;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Machete Gold II;Esteril;AMS;5,6; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Nii;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Ni;Esteril;AMS;3,1; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Oficinas Generales;Esteril;AMS;10,4; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Pampa Verde;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Planta Doña Ana;Esteril;AMS;11,5; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Planta Maria Dama;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Planta Maria Dama-Trio;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Plaza Ñeme Ñeme;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Plaza Trio;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Relleno Higueron;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Sandra K;Esteril;AMS;6,1; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Silencio;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Trituradora Alto De Los Muertos;Esteril;AMS;4,5; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Trituradora Chispero;Esteril;AMS;20,8; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Trituradora Poma Rosa;Esteril;AMS;5,9; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Vivero;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL SANDRA K;Arreglos De Vias Providencia;Esteril;AMS;8,3; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Arreglos De Vias Sandra K;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL SANDRA K;Arreglos De Vias Zona Industrial;Esteril;AMS;6,4; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Arreglos De Vias Zona Industrial I;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Beta;Esteril;AMS;12,9; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Beta I;Esteril;AMS;5,5; 3,1 a 8 ;NA;;
